perc,sel_perc,val,count
2,2,7.49,3
4,4,7.47,7
6,6,7.46,10
8,8,7.45,13
10,10,7.44,16
12,12,7.42,20
14,14,7.41,23
16,16,7.4,26
18,18,7.39,30
20,20,7.38,33
22,22,7.36,36
24,24,7.35,40
26,26,7.33,43
28,28,7.32,46
30,30,7.29,50
32,32,7.28,53
34,34,7.26,56
36,36,7.24,59
38,38,7.22,63
40,40,7.21,66
42,42,7.2,69
44,44,7.17,74
46,46,7.16,76
48,48,7.15,79
50,50,7.14,82
52,52,7.12,86
54,54,7.11,89
56,56,7.1,92
58,58,7.08,96
60,60,7.06,99
62,62,7.05,102
64,64,7.03,106
66,66,7.02,109
68,68,7,112
70,70,6.99,116
72,72,6.97,119
74,74,6.96,122
76,76,6.95,125
78,78,6.93,129
80,80,6.92,132
82,82,6.91,135
84,84,6.89,139
86,86,6.88,142
88,88,6.87,145
90,90,6.85,148
92,92,6.84,152
94,94,6.82,155
96,96,6.81,158
98,98,6.79,162
100,100,6.77,165
